"Aabenraa Kommune",0
"Aalborg",1
"Albertslund Kommune",2
"Allerod Kommune",3
"Assens Kommune",4
"Ballerup Kommune",5
"Billund Kommune",6
"Bornholm kommune",7
"Brondby Kommune",8
"Bronderslev Kommune",9
"Christianso horer under Forsvarsministeriet",10
"Dragor Kommune",11
"Egedal Kommune",12
"Esbjerg Kommune",13
"Faaborg-Midtfyn Kommune",14
"Fano Kommune",15
"Favrskov Kommune",16
"Faxe Kommune",17
"Fredensborg kommune",18
"Fredericia Kommune",19
"Frederiksberg Kommune",20
"Frederikshavn Kommune",21
"Frederikssund Kommune",22
"Fureso Kommune",23
"Gentofte Kommune",24
"Gladsaxe Kommune",25
"Glostrup Kommune",26
"Greve Kommune",27
"Gribskov Kommune",28
"Guldborgsund Kommune",29
"Haderslev Kommune",30
"Halsnaes Kommune",31
"Hedensted Kommune",32
"Helsingor Kommune",33
"Herlev Kommune",34
"Herning Kommune",35
"Hillerod Kommune",36
"Hjorring Kommune",37
"Holbaek Kommune",38
"Holstebro Kommune",39
"Horsens Kommune",40
"Hvidovre Kommune",41
"Hoje Taastrup Kommune",42
"Horsholm Kommune",43
"Ikast-Brande Kommune",44
"Ishoj Kommune",45
"Jammerbugt Kommune",46
"Kalundborg Kommune",47
"Kerteminde Kommune",48
"Kolding Kommune",49
"Kobenhavns Kommune",50
"Koge Kommune",51
"Langeland Kommune",52
"Lejre Kommune",53
"Lemvig Kommune",54
"Lolland Kommune",55
"Lyngby-Taarbaek Kommune",56
"Laeso Kommune",57
"Mariagerfjord Kommune",58
"Middelfart Kommune",59
"Morso Kommune",60
"Norddjurs Kommune",61
"Nordfyns Kommune",62
"Nyborg Kommune",63
"Naestved Kommune",64
"Odder Kommune",65
"Odense Kommune",66
"Odsherred Kommune",67
"Randers Kommune",68
"Rebild Kommune",69
"Ringkobing-Skjern Kommune",70
"Ringsted Kommune",71
"Roskilde Kommune",72
"Rudersdal Kommune",73
"Rodovre Kommune",74
"Samso Kommune",75
"Silkeborg Kommune",76
"Skanderborg",77
"Skive Kommune",78
"Slagelse Kommune",79
"Solrod Kommune",80
"Soro Kommune",81
"Stevns Kommune",82
"Struer Kommune",83
"Svendborg Kommune",84
"Syddjurs Kommune",85
"Sonderborg Kommune",86
"Thisted Kommune",87
"Tarnby Kommune",88
"Tonder Kommune",89
"Vallensbaek Kommune",90
"Varde Kommune",91
"Vejen Kommune",92
"Vejle Kommune",93
"Vesthimmerlands Kommune",94
"Viborg Kommune",95
"Vordingborg Kommune",96
"Arhus Kommune",97
"Aero Kommune",98
