yumbe,2
soroti,6
budadiri,6
rukungiri,7
pader,4
bungokho,2
bamunanika,2
lira,8
jie,4
usuk,7
kapchorwa,1
kamuli,3
iganga,10
arua,8
apac,6
nord-kivu,2
labwor,8
kasese,1
kibale,9
kiboga,7
kisoro,6
nakapiripirit,7
kumi,7
bugiri,10
busia,9
adjumani,4
busiki,5
rakai,7
bujenje,6
bundibugyo,3
dokolo,6
gulu,3
maracha,8
oyam,1
pallisa,7
kaabong,4
kitgum,10
kyenjojo,5
mayuge,6
bukanga,5
kaberamaido,3
kamwenge,6
kanungu,8
kayunga,2
mubende,8
moroto,8
kashari,8
kongasis,7
mpigi,9
kyoga,5
bunyole,9
kalangala,10
aswa,4
bushenyi,1
amuria,6
kabarole,5
kabale,7
wakiso,4
masindi,2
hoima,9
jinja,7
masaka,5
nakasongola,5
nebbi,3
mukono,8
sembabule,1
tororo,5
manafa,9
koboko,6
nakaseke,9
busujju,2
ibanda,2
mbarara,2
bulamogi,6
budaka,4
ntungamo,3
moyo,2
